Time,Level,Noise,Frequency,Bandwidth
19:26.8,-20.85,-41.7,103300,16000
19:26.9,-19.6,-41.7,103300,16000
19:26.9,-21.7,-41.68,103300,16000
19:27.0,-20.39,-41.78,103300,16000
19:27.0,-21.06,-41.78,103300,16000
19:27.1,-18.76,-41.77,103300,16000
19:27.1,-20.55,-41.77,103300,16000
19:27.2,-21.2,-41.78,103300,16000
19:27.2,-21.75,-41.8,103300,16000
19:27.2,-22.12,-41.81,103300,16000
19:27.3,-21.47,-41.76,103300,16000
19:27.4,-21.84,-41.76,103300,16000
19:27.4,-21.28,-41.78,103300,16000
19:27.4,-20.47,-41.83,103300,16000
19:27.5,-22.82,-41.87,103300,16000
19:27.6,-19.53,-41.88,103300,16000
19:27.6,-20.1,-41.81,103300,16000
19:27.7,-21.05,-41.83,103300,16000
19:27.7,-21.67,-41.81,103300,16000
19:27.8,-23.97,-41.83,103300,16000
19:27.8,-21.97,-41.86,103300,16000
19:27.9,-21.23,-41.89,103300,16000
19:27.9,-22.42,-41.88,103300,16000
19:28.0,-19.07,-41.84,103300,16000
19:28.0,-20.84,-41.86,103300,16000
19:28.1,-22.41,-41.87,103300,16000
19:28.1,-22.22,-41.87,103300,16000
19:28.2,-21.11,-41.96,103300,16000
19:28.2,-21.34,-41.96,103300,16000
19:28.3,-20.74,-41.99,103300,16000
19:28.3,-21.22,-42.03,103300,16000
19:28.3,-21.28,-42.01,103300,16000
19:28.4,-20.45,-41.98,103300,16000
19:28.4,-21.48,-41.93,103300,16000
19:28.5,-20.95,-41.87,103300,16000
19:28.6,-22.53,-41.82,103300,16000
19:28.6,-22.45,-41.87,103300,16000
19:28.7,-21.58,-41.95,103300,16000
19:28.8,-22.91,-41.9,103300,16000
19:28.8,-20.93,-41.89,103300,16000
19:28.9,-22.6,-41.89,103300,16000
19:28.9,-23.08,-41.94,103300,16000
19:28.9,-21.26,-41.94,103300,16000
19:29.0,-20.58,-41.94,103300,16000
19:29.1,-22.15,-41.94,103300,16000
19:29.1,-20.28,-41.9,103300,16000
19:29.2,-21.14,-41.87,103300,16000
19:29.2,-20.94,-41.87,103300,16000
19:29.3,-21.89,-41.81,103300,16000
19:29.3,-22.18,-41.8,103300,16000
19:29.4,-22.27,-41.84,103300,16000
19:29.4,-21.69,-41.85,103300,16000
19:29.5,-20.55,-41.87,103300,16000
19:29.5,-20.36,-41.91,103300,16000
19:29.6,-20.47,-41.91,103300,16000
19:29.6,-21.61,-41.93,103300,16000
19:29.7,-19.13,-41.86,103300,16000
19:29.7,-20.75,-41.81,103300,16000
19:29.7,-20.54,-41.83,103300,16000
19:29.8,-20.2,-41.82,103300,16000
19:29.8,-20.44,-41.82,103300,16000
19:29.9,-22.49,-41.73,103300,16000
19:30.0,-20.91,-41.73,103300,16000
19:30.0,-19.74,-41.74,103300,16000
19:30.1,-21.75,-41.74,103300,16000
19:30.1,-21.72,-41.71,103300,16000
19:30.2,-22.03,-41.73,103300,16000
19:30.2,-21.08,-41.75,103300,16000
19:30.2,-19.64,-41.75,103300,16000
19:30.3,-21.21,-41.77,103300,16000
19:30.3,-21.91,-41.78,103300,16000
19:30.4,-20.39,-41.81,103300,16000
19:30.5,-21.29,-41.83,103300,16000
19:30.6,-23.36,-41.87,103300,16000
19:30.6,-23.12,-41.89,103300,16000
19:30.7,-22.69,-41.95,103300,16000
19:30.7,-20.55,-42.02,103300,16000
19:30.8,-22.62,-42.03,103300,16000
19:30.8,-23.92,-42,103300,16000
19:30.9,-21.61,-42.06,103300,16000
19:30.9,-20.28,-42.09,103300,16000
19:31.0,-21.75,-42.07,103300,16000
19:31.0,-18.19,-42.08,103300,16000
19:31.1,-22.2,-42.06,103300,16000
19:31.1,-22.32,-42.1,103300,16000
19:31.1,-22.02,-42.11,103300,16000
19:31.2,-22.12,-42.1,103300,16000
19:31.2,-21.05,-42.08,103300,16000
19:31.3,-23.08,-42.1,103300,16000
19:31.3,-22.88,-42.12,103300,16000
19:31.4,-22.03,-42.12,103300,16000
19:31.4,-21.07,-42.16,103300,16000
19:31.5,-21.44,-42.16,103300,16000
19:31.6,-23.28,-42.15,103300,16000
19:31.6,-21.3,-42.15,103300,16000
19:31.7,-21.03,-42.15,103300,16000
19:31.7,-22.18,-42.13,103300,16000
19:31.8,-22.92,-42.13,103300,16000
19:31.8,-21.46,-42.13,103300,16000
19:31.9,-22.44,-42.11,103300,16000
19:31.9,-22.61,-42.09,103300,16000
19:31.9,-24.02,-42.08,103300,16000
19:32.0,-23.02,-42.11,103300,16000
