event_id,start_index,end_index,peak_index,start_time,peak_time,end_time,peak_level,local_baseline,prominence_db
1,294,294,294,19:41.8,19:41.8,19:41.8,-16.29,-21.63,5.34
2,814,819,819,20:10.2,20:10.5,20:10.5,-18.0,-21.7,3.6999999999999993
3,942,942,942,20:18.6,20:18.6,20:18.6,-16.91,-21.18,4.27
4,1038,1043,1038,20:25.0,20:25.0,20:25.3,-14.68,-21.34,6.66
5,1156,1156,1156,20:33.4,20:33.4,20:33.4,-17.44,-21.22,3.7799999999999976
6,1269,1269,1269,20:41.2,20:41.2,20:41.2,-13.96,-21.1,7.140000000000001
7,1529,1529,1529,20:56.9,20:56.9,20:56.9,-15.09,-20.77,5.68
8,1567,1567,1567,20:59.4,20:59.4,20:59.4,-16.16,-20.55,4.390000000000001
9,1748,1748,1748,21:09.6,21:09.6,21:09.6,-15.85,-21.05,5.200000000000001
10,1797,1797,1797,21:12.1,21:12.1,21:12.1,-16.54,-21.07,4.530000000000001
11,1967,1967,1967,21:20.6,21:20.6,21:20.6,-16.0,-21.28,5.280000000000001
12,2815,2815,2815,22:09.2,22:09.2,22:09.2,-17.71,-21.59,3.879999999999999
13,2899,2899,2899,22:14.6,22:14.6,22:14.6,-17.99,-22.16,4.170000000000002
14,3874,3874,3874,23:09.0,23:09.0,23:09.0,-18.93,-21.87,2.9400000000000013
15,4423,4423,4423,23:41.5,23:41.5,23:41.5,-19.65,-22.45,2.8000000000000007
16,4934,4934,4934,24:14.4,24:14.4,24:14.4,-18.29,-21.85,3.5600000000000023
17,4997,4997,4997,24:18.8,24:18.8,24:18.8,-18.36,-22.14,3.780000000000001
18,5038,5038,5038,24:21.6,24:21.6,24:21.6,-18.41,-22.09,3.6799999999999997
19,6285,6285,6285,25:29.9,25:29.9,25:29.9,-16.32,-20.94,4.620000000000001
20,6515,6515,6515,25:43.3,25:43.3,25:43.3,-16.16,-20.7,4.539999999999999
21,7651,7651,7651,26:50.3,26:50.3,26:50.3,-15.43,-20.69,5.260000000000002
22,8004,8004,8004,27:09.1,27:09.1,27:09.1,-16.29,-20.94,4.650000000000002
23,8017,8017,8017,27:09.8,27:09.8,27:09.8,-14.95,-20.81,5.859999999999999
24,8269,8269,8269,27:23.6,27:23.6,27:23.6,-17.16,-21.29,4.129999999999999
25,8385,8385,8385,27:31.5,27:31.5,27:31.5,-16.31,-20.84,4.530000000000001
26,8526,8528,8528,27:41.4,27:41.6,27:41.6,-17.17,-21.09,3.919999999999998
27,9039,9039,9039,28:13.7,28:13.7,28:13.7,-14.45,-19.35,4.900000000000002
28,9684,9684,9684,28:46.7,28:46.7,28:46.7,-14.73,-20.05,5.32
29,10409,10409,10409,29:28.2,29:28.2,29:28.2,-15.48,-19.61,4.129999999999999
30,11012,11012,11012,30:05.9,30:05.9,30:05.9,-15.38,-19.85,4.470000000000001
31,11149,11155,11149,30:12.9,30:12.9,30:13.2,-13.43,-20.08,6.649999999999999
32,11261,11261,11261,30:18.6,30:18.6,30:18.6,-15.73,-20.49,4.759999999999998
33,11640,11640,11640,30:40.5,30:40.5,30:40.5,-15.74,-20.37,4.630000000000001
34,11771,11771,11771,30:47.2,30:47.2,30:47.2,-14.39,-19.86,5.469999999999999
35,11777,11780,11779,30:47.4,30:47.5,30:47.6,-14.33,-19.92,5.590000000000002
36,11873,11873,11873,30:54.0,30:54.0,30:54.0,-16.09,-20.45,4.359999999999999
37,12136,12136,12136,31:09.2,31:09.2,31:09.2,-14.86,-20.62,5.760000000000002
38,12286,12286,12286,31:16.7,31:16.7,31:16.7,-15.43,-20.96,5.530000000000001
39,12319,12319,12319,31:18.4,31:18.4,31:18.4,-16.39,-20.98,4.59
40,12479,12479,12479,31:29.6,31:29.6,31:29.6,-15.23,-20.49,5.259999999999998
41,12486,12486,12486,31:30.1,31:30.1,31:30.1,-14.91,-20.49,5.579999999999998
42,12997,12997,12997,31:59.4,31:59.4,31:59.4,-17.0,-20.63,3.629999999999999
43,13058,13058,13058,32:03.2,32:03.2,32:03.2,-16.2,-20.6,4.400000000000002
44,13196,13199,13196,32:10.7,32:10.7,32:10.8,-15.65,-20.16,4.51
45,13381,13381,13381,32:20.9,32:20.9,32:20.9,-15.21,-20.07,4.859999999999999
46,13678,13679,13678,32:38.4,32:38.4,32:38.5,-14.6,-20.09,5.49
47,14039,14042,14039,33:00.2,33:00.2,33:00.3,-11.1,-19.53,8.430000000000001
48,14050,14050,14050,33:00.8,33:00.8,33:00.8,-13.89,-19.49,5.599999999999998
49,14186,14186,14186,33:07.8,33:07.8,33:07.8,-16.37,-20.16,3.789999999999999
50,15997,15997,15997,34:50.0,34:50.0,34:50.0,-18.27,-21.52,3.25
51,16143,16143,16143,34:57.3,34:57.3,34:57.3,-18.52,-21.66,3.1400000000000006
52,17792,17792,17792,36:34.3,36:34.3,36:34.3,-16.5,-20.47,3.969999999999999
